,Eg (eV),Comp
2467,1.33,Rb1.54Cd1.54Bi2.46S6
2468,1.4,Cu2CdSnS4
2470,3.14,Pb2V3Se5O18
2471,2.3,Li2In2GeSe6
2474,0.34,Fe2Te3
2477,1.84,CuGaInS3.5
2478,2.1,KAg2SbS3
2479,1.57,Tl2Hg3Se4
2481,1.15,La2YbCuSe5
2482,2.0,In2S3
2484,0.19,Ag0.4Cd0.5In2.2Te4
2485,2.8,Cs2Hg3S4
2488,1.32,BiSeI
2489,5.63,MgSe
2491,0.9,In4S5
2492,1.44,Gd2Mn4S7
2493,4.23,YbClWO4
2494,2.8,Ba3Ta5O14N
2496,3.38,Sr2SmTaO6
2497,1.97,CsYbZnSe3
2500,2.47,Hg4As2HfCl6
2502,2.04,KBaSbSe3
2504,1.76,RbMn4In5Se12
2505,2.5,MnSe
2506,1.32,Cu0.15In1.85Se2.85
2507,2.37,KUO3Cl
2508,1.95,CsTb9Cd4Se18
2510,3.81,Cd3MoTe2O10
2514,0.4,Pb0.7Ge0.3Se
2515,2.4,CsInGeS4
2516,0.46,BiTeI
2518,1.6,Cs2Cu2Sb2S5
2519,3.97,Pb2H2P2O6
2520,1.5,Na7.36Ga7.24Sn4.78Se24
2522,0.7,CeN
2523,3.8,KYTe2O6
2524,1.59,Rb4Ti3S14
2525,4.13,BaGa2S4
2526,1.62,CsCd4In5Se12
2528,2.71,BaZnSiSe4
2529,0.46,Pr4Te7
2530,3.0,TeO2
2532,2.3,KV2I3O13
2535,3.25,CaMg2N2
2537,2.61,Pr2.48Tb0.52Ga1.67S7
2538,3.05,Zn3In2S6
2539,1.0,Pb2Bi5.9La2.1S14
2540,1.4,TlAsSe2
2543,2.48,PbSbO2I
2544,0.31,Ba8Ga10Si36
2546,0.15,Pb0.83Sn0.17Te
2547,3.46,KNb3Se2O12
2549,1.3,Tl3AsSe3
2551,2.01,CeMn0.5OSe
2554,2.22,ThOS
2555,1.8,Tl4Nb2S11
2557,1.71,Hg4As2.5InBr3.5
2558,3.25,Li4.5Fe0.5TeO6
2559,2.8,Bi25FeO39
2561,2.3,CdO
2562,0.78,Bi2Te0.1Se2.9
2563,1.8,PbSbBS4
2564,1.72,ZnGa2Se4
2565,1.2,CuBiP2Se6
2566,3.25,Pb10B3O13Br3
2568,1.7,AgBiP2S6
2569,3.02,SrThP2S8
2570,2.18,UO2
2572,3.3,DyB6
2573,0.53,K1.25Pb3.5Bi7.25Se15
2574,1.93,K2Cd2Te3
2575,2.41,Gd4GaSbS9
2576,2.26,NdCuOTe
2580,0.3,OsTe2
2581,3.2,PbBiBO4
2582,2.48,Rb2Hg3Sn2S8
2583,3.5,LiBi4Ta3O12
2584,3.75,BaGa2SiS6
2588,2.04,RbAg2TeS6
2589,6.89,Ba3P3O10Cl
2590,1.5,Sm2Mn3Sb4S12
2592,1.93,CdS0.35Se0.65
2593,0.4,CoAs3
2595,2.18,RbPSe6
2596,0.24,Cu3ErTe3
2597,3.5,KTaO3
2600,0.69,In0.9As0.9Cd0.1Te0.1
2601,1.61,CsZn4In5Se12
2604,10.4,RbF
2610,0.43,CsBi3Se5
2611,0.2,Cu3DySe3
2612,3.25,Bi12PO20
2618,1.66,CuCdInSe3
2619,0.9,RuSbSe
2620,3.6,Co2Te3O8
2621,6.67,Li4SrB2O6
2623,0.64,K4GeSe4
2624,5.7,CdCl2
2626,2.53,Na4MgGe2Se6
2629,1.89,Ba3BSbSe6
2630,1.7,EuLu2Se4
2633,2.85,Na4MgSi2Se6
2634,4.87,CaSe
2635,1.94,CsCeHgSe3
2636,1.96,PbGa2GeSe6
2637,0.69,In0.96As0.96Cd0.04Te0.04
2638,2.3,CsCu2AsS3
2640,2.85,SrLa2S4
2643,0.8,Ga0.8Sb0.8Cd0.2Te0.2
2644,1.2,EuSb2S4
2645,2.64,BaGa4Se7
2646,0.64,KRbBi8Se13
2647,2.3,In0.4Al0.6P
2648,1.18,K8Ga8Si38
2649,0.16,CuFeSe2
2651,0.43,La3Te4
2652,0.8,Rh2S3
2653,0.68,Ga1.01Sb0.99Te0.03
2654,1.74,In0.4P0.4Ga0.6As0.6
2661,1.04,Ge0.1Si0.9
2662,2.9,Y2S3
2663,4.32,Ba3ZnTa2O9
2664,3.61,CuBS2
2666,4.2,Ta2O5
2667,0.04,Pb0.75Sn0.25Se
2668,2.1,Cu2ZnGeS4
2669,1.26,Cu0.2In1.8Se2.8
2672,2.0,RbZrPSe6
2674,1.15,Zn3P2
2678,0.48,NdTe2
2681,4.1,Pb2GeSe4O12
2682,2.43,CsSmZnSe3
2683,2.61,Sb3O4I
2684,4.78,NaBaB5O9
2685,3.7,Bi2SeI2O11
2687,2.22,Dy3Al0.5SiS7
2688,0.85,TlCr5S4Se4
2689,1.83,Nd2ZrS5
2690,1.35,MnTe
2691,2.83,LiInSe2
2692,0.68,Ga1.005Sb0.995Te0.015
2693,3.42,Ba3InS4Cl
2696,2.76,Bi5O7I
2705,3.7,Zn0.99Cd0.01Se
2706,2.18,NaIn3S5
2707,0.3,TiC0.9
2708,3.1,KPbB5O9
2710,0.46,In2Te
2711,1.32,Cu0.4In1.6Se2.6
2713,3.88,BaS
2714,1.1,Cu2In4Te7
2716,2.75,K2Au2SnS4
2718,2.2,K3NaSn3Se8
2719,2.64,Rb2CuNbS4
2720,1.57,AgO
2723,2.19,Rb2TiCu2S4
2727,0.79,Ba3Sn0.87Bi2.13Se8
2728,1.68,K2CuIn3Se6
2730,2.16,KCd4Ga5Se12
2731,1.7,EuGa2Te4
2733,2.6,ScN
2734,3.41,Ba3Gd2P4S16
2735,1.2,K2CsSb
2736,0.2,CoAsSe
2737,2.23,Sm4GaSbS9
2738,2.65,Hg3ZnS2Cl4
2739,10.39,BeO
2740,0.66,Ga1.05Sb0.95Se0.15
2742,4.99,Na3WO4Cl
2745,2.4,In0.01Al0.99P
2746,1.45,Ba4CuGa5Se12
2748,1.67,CsCd4Ga5Te12
2749,0.41,InAsI
2753,0.3,Cu3ScSe3
2759,0.24,HgSc
2760,0.65,Pb4Sb6Se13
2763,0.22,Cs6.40Na1.60Ga8Ge38
2764,1.85,NaYbP2S6
2766,4.84,Rb3NaMo2O8
2767,4.17,BeS
2768,1.0,Ag7AsS6
2771,0.54,Ag0.2Cd0.75In2.1Te4
2773,2.98,NdCuOS
2775,4.6,ZnB12O24H10
2778,1.63,Cs2Hg6S7
2779,4.5,CaB6
2780,1.76,AgIn5S8
2781,1.4,K4P8Te4
2784,2.06,Hg2Br2Te2
2785,0.11,ScNiSb
2787,2.3,Na2Te
2788,4.22,In4As5O12Br3
2790,2.3,TaN
2791,3.1,Na2Mo2Se2O11
2792,2.0,K4Ag9Sb4S12
2793,1.33,K2Gd2Sb2Se9
2795,0.5,RuSbTe
2799,2.12,ZnSiAs2
2800,2.81,Dy3GaS6
2802,1.76,La2Ga0.33SbS5
2804,1.5,UO
2806,2.3,SmS
2807,0.26,InSnAsSe
2809,2.35,Cs4Zr3S14
2810,2.6,Ba7AgGa5S15
2811,2.7,CaNd2S4
2813,2.17,NaIn3Se5
2814,2.5,PSe
2816,0.79,TlScSe2
2818,2.25,Tl2O3
2821,3.2,SrPb3Br8
2822,0.43,CuFeS2
2825,0.31,MnSb2Se4
2826,1.38,K2TeI6
2830,2.0,CsZrPSe6
2832,1.18,Eu3Bi4S9
2833,2.49,Ga0.01Al0.99P
2834,7.6,RbBa2P5O15
2835,0.4,LiMgBi
2841,2.99,Bi25GaO39
2842,2.56,Ba12In4S19
2843,2.65,Cu0.1Ga1.9S2.9
2844,4.05,Bi7F11O5
2846,4.0,Sr4Te3O8Cl4
2847,3.06,BaIn2S4
2851,0.9,SrGe2
2853,2.24,Cd4P2Cl3
2854,0.73,In0.98As0.98Cd0.02Te0.02
2858,3.29,Na2Ga2GeS6
2859,2.12,Ga0.5Al0.5As
2860,3.3,CuScO2
2861,5.3,Gd2O3
2863,2.23,GaAs0.01P0.99
2865,0.9,IrS2
2867,2.05,In0.4Ga0.6P
2870,0.23,Eu1.83Ta15O32
2873,2.4,Ba3Sb2S7
2874,0.8,RuPAs
2875,2.25,KAg2AsS3
2876,4.0,PrBN2
2877,4.4,Sr3Se3O8Cl
2878,7.5,LiBr
2879,1.37,Cd0.95Te0.95Al0.05Sb0.05
2880,1.95,Cs2Ga2Se5
2884,0.3,Pb0.9Ge0.1Se
2887,2.64,Cu2Te3O8
2888,0.6,EuSnTe2
2890,1.35,Ba2InDyTe5
2892,2.37,CsSmHgSe3
2895,3.46,EuSb2BO8
2896,2.02,K4Hf3Se14
2898,2.15,NaCeS3
2901,2.0,LaTaN2O
2902,2.38,Cs4Ta4P4Se24
2904,1.7,EuEr2Se4
2905,1.0,BaGe2
2907,2.4,Bi2CrI2O11
2908,1.47,Ga0.85As0.85Zn0.15Se0.15
2909,2.3,LiInSnS4
2911,2.16,EuGa2Se4
2912,2.36,Na2ZnGe2Se6
2914,3.65,Pr2Te4O11
2915,0.45,CoP3
2918,1.67,RbCu2SbS3
2919,0.9,Tl2Hg3Te4
2923,0.9,Er2Te3
2924,2.63,AgGaSiSe4
2925,1.18,Rb8Ga8Si38
2927,3.45,Li2In2GeS6
2928,3.5,SnBr2
2930,0.4,Bi8Te7S5
2931,2.17,PbGa2SiSe6
2932,1.1,Li2ZnGe
2933,1.0,Na2RbSb
2935,2.28,K2Hg3S2.69Se1.31
2936,2.3,In0.3Al0.7P
2942,2.0,MnTe9
2943,9.33,LiCl
2946,1.43,CuIn2S3.5
2948,0.34,Pb0.93TeGa0.07
2949,3.25,HgCuSe2O6
2951,3.08,CaBi2O4
2954,0.6,DyTe1.40
2955,2.66,Rb3ZnB5O10
2956,1.95,Li0.5Pb1.75GeS4
2959,1.66,Mn1.95GdIn1.05S5
2961,0.67,Ge0.97Si0.03
2962,2.04,Cs2MgGe3Se8
2963,0.21,Hg0.72Cd0.28Te
2964,0.34,Pb0.98Te0.98Ge0.02S0.02
2965,2.06,CsHo9Cd4Se18
2968,3.81,La2BaTe5O14
2969,1.62,RbSbSe2
2970,0.3,VO
2971,2.35,Ag2Ga2SiS6
2972,1.96,RbCu2AsS3
2974,2.0,La5Cu6.33O4S7
2976,0.6,CoAsS
2977,1.8,Ba3La3Cu6O14
2979,1.0,Zn4Sb3
2980,1.45,Cu0.01In1.99Se2.99
2981,2.3,K2Au2Sn2S6
2983,2.29,Ba7Sn5S15
2984,1.87,Se3Te
2987,4.5,NaLa2TaO6
2990,2.3,Cs3Sb2Br9
2992,1.55,Ca3N2
2994,0.23,Cu3SmTe3
2995,1.54,KCeSe4
2996,3.4,BaAl4Se7
3004,2.93,NaCdAsS3
3007,0.8,Zn0.55Hg0.45Se
3010,3.26,Li2CdSnS4
3011,2.37,Rb2Cd3Se4
3012,0.46,SmSe
3014,0.85,In0.8As0.8Ga0.2P0.2
3016,6.53,Li4Cs3B7O14
3017,2.92,Rb2Cd3S4
3019,1.71,CdSc
3021,2.54,NaSmP2S6
3025,0.74,Gd2Te3
3028,0.9,KSb
3029,3.7,CaZnOS
3031,2.32,BaAuI5O15
3032,0.66,Mg2Co
3035,2.2,AgGaO2
3036,0.36,Pb0.85Ge0.15Te
3040,0.29,Pb0.95Se0.95Ge0.05S0.05
3042,2.0,Bi4V2O11
3044,2.0,HgIn2S4
3045,1.79,Li4.5Cr0.5TeO6
3046,1.28,ErIn3S6
3048,7.33,Na2B6O9F2
3052,4.5,Sr5V3O12F
3054,2.13,CdS0.65Se0.35
3055,1.6,HgSnO3
3057,1.45,RbCu2VS4
3058,3.24,Pb6B4O13H2
3061,1.5,LaZnAsO
3062,0.38,RuP4
3063,2.7,CaLa2S4
3064,3.0,Sn0.5GaZn4.5O7
3065,1.95,Ba2GaErSe5
3067,0.7,Se0.4Te0.6
3069,4.29,Cd12Ge17B8O58
3070,3.68,Ca2ScSbO6
3072,2.3,Cu1.8S
3073,1.7,LaNbON2
3075,2.5,RbIn5S6
3079,0.4,AlBi
3080,1.83,Rb2AgVS4
3081,2.26,Sm3Al0.33SiS7
3082,2.8,NaInSe2
3083,0.54,LaP
3086,1.95,TiS2
3089,1.86,CsLu7S11
3090,0.32,FeP4
3091,4.68,CsSbS2O8
3092,0.4,OsSbSe
3093,1.55,In0.5As0.5Ga0.5P0.5
3094,2.37,ZnTc
3095,2.75,Ba2ZnSe3
3096,0.88,Cu3YSe3
3097,2.31,Ba2GaYSe5
3099,0.18,AgSO4
3101,0.5,Ce4Te7
3102,2.34,BaSbBS4
3103,1.42,Li2FeGeS4
3104,1.1,Ce3LuSe6
3105,0.68,Ga1.05Sb0.95Te0.15
3106,2.16,CsInTe2
3107,0.64,Ga1.005Sb0.995Se0.015
3109,1.0,PrAs
3110,4.9,Li4.5Al0.5TeO6
3111,2.36,K2Cd3Se4
3112,0.12,Pb0.72Se0.72Sn0.28Te0.28
3113,2.52,AgBr
3114,3.0,Ba2Ga8GeS16
3116,2.9,ZnGeN2
3117,3.3,Ba3Ho2P4S16
3119,1.57,Hg5AsS2I3
3120,3.9,Cd3BiP3O12
3121,1.85,EuH2
3123,3.9,BaZnOS
3124,1.5,InBi2S4Cl
3125,1.1,TeI
3126,2.4,Rb2PtI6O18
3128,1.28,Cs1.43Cd1.43Bi2.57S6
3129,1.29,InP2Se4
3132,3.26,Cs2Ga2S5
3133,0.04,Pb0.75Sn0.25Te
3135,3.73,Pb3Br2Se2O6
3136,2.55,Ba4Ga2S8
3137,1.55,CuGa0.4In1.6S3.5
3139,1.53,K3Nb2AsSe11
3143,3.1,Li2CdGeS4
3144,3.65,Li2Ga2GeS6
3145,6.32,LiKCO3
3147,0.34,Cu3DyTe3
3148,1.6,MoSe2
3149,2.73,LaInS2O
3151,2.0,K2MnSn2Se6
3152,0.63,Ga1.02Sb0.98Se0.06
3153,1.81,Ga0.7Al0.3As
3154,0.7,CuInCd2Te3
3155,2.06,Tl2TeBr6
3157,2.7,CuNiC4N4
3158,3.16,BaGa2Se4
3159,1.15,Ga0.8Sb0.8Zn0.2Te0.2
3160,1.8,EuDy2Se4
3161,1.22,Tm4Sb2Se11.68
3163,0.2,RbHgSbTe3
3164,1.4,OsPSe
3166,0.26,PbTe0.01Se0.99
3167,0.08,Pb0.93Sn0.07Se
3168,4.1,Al2S3
3169,2.13,BaV2SeO8
3170,0.85,La4FeSb2Se10
3171,3.3,B6P
3172,1.39,Ba5Ga6GeP12
3173,3.5,ErB6
3174,0.72,Ga0.99Sb0.99Zn0.01Te0.01
3175,0.94,TlCr5S6Se2
3176,1.55,AgScP2Se6
3177,1.02,YbAs
3182,2.14,Ag0.5Eu1.75GeS4
3183,1.5,GaAs0.9P0.1
3185,2.46,Na2BaSnSe4
3187,1.77,Cs2AgVS4
3189,2.84,Pb6BBrO7
3190,0.26,EuIr4In2Ge4
3191,0.32,Pb0.85Se0.85Ge0.15Te0.15
3195,2.12,Pb3O4
3201,2.31,Ba8Sn4S15
3204,2.4,CsCdInSe3
3205,0.7,Sm2Sn3Se9
3206,0.8,LaSb
3207,2.51,K6CdTe4
3208,0.18,Ag2PdO2
3209,2.2,BaAgSbS3
3211,2.16,GaAs0.3P0.7
3212,2.75,Ba3CdSn2S8
3213,1.6,AsSb
3215,1.8,InSb2S4Br
3216,2.7,AgLi0.33Sn0.67O2
3217,3.06,Li2MnGeS4
3218,2.3,Ag3Ga3SiSe8
3219,2.78,K0.8Hg1.2Sn2S8
3220,0.15,Bi1.8Te3Sb0.2
3221,0.62,Cs2Sb
3222,1.98,Nd10OSe14
3223,1.7,KCu2SbS3
3224,3.85,Li6Ga2Te8O22
3225,2.54,Hg7InS6Cl5
3227,4.19,Na2GdP2O8
3228,2.87,Ba3V2Se4O16
3234,1.0,Cu3VS4
3236,1.15,RhAs2
3237,4.2,Ca3BiP3O12
3238,4.0,BeSe
3239,2.35,BaSn2S5
3240,0.28,Pb0.97Se0.97Ge0.03S0.03
3241,3.54,SmSb2BO8
3244,1.1,GaGeTe
3245,1.5,YbSe
3246,4.8,BaO
3247,3.7,CBr4
3248,5.4,La2O3
3250,2.49,Ag2CdP2S6
3251,2.59,Ga0.01As0.01Zn0.99Se0.99
3252,2.75,K2Cd3S4
3253,0.66,PrSb
3254,2.67,PbSbO2Br
3255,2.2,Ba2InNdSe5
3256,3.09,CsCd4Ga5S12
3257,2.32,Rb2HgP2Se6
3259,1.4,AgBiP2Se6
3260,2.35,Ba2GaDySe5
3261,11.1,MgF2
3263,3.7,Zn0.99S0.99Ga0.01P0.01
3264,2.13,Ga0.5P0.5Zn0.5Se0.5
3265,2.26,KBaAsSe3
3266,1.7,CsSbSe2
3268,3.76,CdP2S4
3269,0.4,BiSe
3270,2.0,NiC2N2
3271,0.13,AgPbBiSe3
3272,1.3,OsAsS
3273,2.3,Rb6P3S15
3274,5.42,Er2O3
3275,0.6,RhSe2
3277,1.6,Nd3Te4
3278,0.88,Ge0.7Si0.3
3279,0.2,InSn2As2Se
3281,1.2,Se0.6Te0.4
3282,0.68,In0.95As0.95Cd0.05Te0.05
3284,2.6,K6Yb3P5S20
3286,0.95,GeP
3287,0.5,Nd2Sn3Se9
3290,2.6,SmCuOSe
3291,2.4,Cs2CuP3S9
3292,1.39,Ba2AsGaSe5
3293,2.48,Ta0.67Zr1.33O1.89N1.63
3294,1.99,CsDy9Cd4Se18
3295,0.27,InSb0.9As0.1
3297,1.04,NdAs
3298,0.47,AgInCd2Te3
3299,0.68,In0.93As0.93Cd0.07Te0.07
3302,1.35,Ga0.01Sb0.01Cd0.99Te0.99
3303,5.63,Mg5B3O9F
3305,3.5,KAlGeS4
3306,2.4,CsCeCdSe3
3308,0.88,TcSe2
3310,0.19,LaSi2
3311,1.06,Ge0.06Si0.94
3315,0.95,Hg0.6Cd0.4Se
3316,1.66,BaLa2In2Se7
3318,2.18,Ga0.75P0.75Zn0.25Se0.25
3319,2.01,La2ZrS5
3321,0.15,Bi2Te2.97Se0.03
3322,1.75,Ba2Cu2ThSe5
3323,3.44,BaReH9
3324,2.8,Hg3Te2Bi2Cl8
3325,1.71,Ta1.33Zr0.67O0.12N3.03
3328,0.4,Pb0.8Ge0.2Te
3331,3.62,BiTeNO6
3332,0.6,MnSi
3333,1.48,K2PdSe10
3334,1.7,CsCuSb2S4
3335,1.98,Li6Fe2Te8O22
3336,2.04,CsAg2TeS6
3337,2.0,KAg11V4O16
3338,1.75,Ce2Se3
3341,1.8,GaAs0.7P0.3
3342,3.68,Li3PS4
3343,2.45,SrNd2S4
3344,0.06,Hg0.796Cd0.204Te
3345,1.87,Ba2GaGdSe5
3347,0.8,TlCr5S3Se5
3348,0.48,Pb0.7Ge0.3Te
3350,3.8,CdI2
3352,0.7,Li3Bi
3353,1.5,EuIn2S4
3354,2.48,Rb3Sb2Br9
3355,3.6,SnO2
3356,2.5,LaS1.86Se0.14
3358,1.43,Dy4S4Te3
3359,0.95,Ca2CdAs2
3360,0.28,Bi2Te0.9Se2.1
3362,2.4,P2Se3
3363,2.3,Ga0.8Al0.2P
3365,3.61,Li2In2SiS6
3367,3.9,SnCl2
3369,2.2,Ba5Ga4Se10
3371,2.2,In0.3Ga0.7P
3372,1.04,Rb2Cu2Sn2Se6
3373,0.7,RhSe3
3374,0.13,InSb0.6As0.4
3375,4.47,CdBr2
3376,1.78,CsLu7Se11
3378,3.27,Cs3W3PO13
3379,5.5,Lu2O3
3381,2.3,RbAg2SbS4
3382,1.25,Cd4Sb3
3383,2.0,Li2B6
3385,3.0,K2ZnTe2
3387,2.9,Pb6B2MoO12
3388,1.2,Eu3P2
3389,3.54,Zn0.2Ba2B2S5.2
3390,2.17,AgGaGe3Se8
3391,3.5,CuAlS2
3392,3.28,Ba3Dy2P4S16
3393,1.1,CuZn2InSe4
3394,0.2,PdSe
3395,1.0,Se0.5Te0.5
3396,0.19,Bi1Te3Sb1
3398,1.32,Pr2Ge2Se7
3402,0.41,La2CoVO6
3403,2.2,Tl4CuTeO6
3404,1.95,Sb5O7I
3405,3.4,HgBrCl
3406,1.88,RbGaSnSe4
3407,4.77,Na3MoO4F
3408,3.78,YFMoO4
3413,7.6,KBr
3415,1.0,PrTe1.9
3416,3.26,Hg3S2Bi2Cl8
3419,3.4,TlGaS2
3421,1.36,Ba2InSmTe5
3422,3.5,SmB6
3423,1.4,Ga0.99In0.01As
3424,2.33,Rb2Sn3Sb2S10
3425,2.92,BiOBr
3428,1.63,Ba4Ga2Se8
3429,1.67,Mg2Ge
3430,2.4,Rb3Al3Ge7Se20
3431,1.99,SrTaO2N
3433,0.59,Pb0.99TeTl0.01
3434,1.48,CsMn4In5Te12
3435,2.2,K3SmAs2S8
3436,2.74,EuAl2O4
3437,3.4,Cr2O3
3439,2.23,K3Ga3Ge7Se20
3440,1.71,Yb4Sb2S11.25
3441,1.9,Ca2Si
3442,2.62,Pb14B2O14Br6
3444,0.6,DyTe1.45
3447,1.0,YbSb
3448,1.96,Cu0.05Ga1.95Se2.95
3449,1.5,Nd1.33Lu0.67S3
3450,1.03,LaIn3S6
3451,1.87,CsGaSn2Se6
3452,2.36,CsKP2Se8
3458,2.3,YbGa2S4
3459,2.1,CuSmSe2
3460,0.21,InSb0.8As0.2
3461,0.18,Pb0.85Se0.85Sn0.15Te0.15
3463,2.45,SrCrO4
3481,3.0,Dy2S3
3506,2.06,Bi4PdSe4O12
3507,1.23,Cd3In2S2Te4
3509,0.36,Pb0.8Se0.8Ge0.2Te0.2
3510,0.94,Ag1.75InSb5.75Se11
3511,3.38,K2Dy2Ti3O10
3512,2.75,ZrS2
3514,1.5,GeI2
3516,2.0,Ir0.67S2
3517,1.5,Pb2MnO4
3519,3.1,SrZnSO
3520,1.91,Ge0.653Si0.347
3522,2.6,Cu2Ta4O11
3523,0.8,K4GeS4
3524,0.9,Ge0.6Si0.4
3529,2.75,Li4HgGe2S7
3533,2.0,SiB3
3542,3.2,LiMgN
3543,1.6,RbCuSb2S4
3548,3.13,Hg6P6In2Cl9
3550,2.49,Sn3WO6
3554,3.0,CdSnO3
3555,0.14,Pb0.8Se0.8Sn0.2Te0.2
3560,5.69,CsZn2B3O7
3561,0.78,Ga0.9Sb0.9Cd0.1Te0.1
3562,4.81,NH7Se2O6
3564,2.16,KPSe6
3566,1.6,Ga0.85Al0.15As
3568,2.4,Ga0.05P0.05Zn0.95Se0.95
3569,1.06,KFeCuTe2
3570,2.6,AsBr3
3572,1.0,Ga0.7In0.3As
3575,1.0,ReS2
3576,3.4,CdMoSb4O10
3578,0.7,Ga1.002Sb0.998Se0.006
3579,4.0,As2O3
3581,3.7,Na2BaGeS4
3582,1.13,Ba2GaDyTe5
3583,0.32,NaB15
3586,0.9,AgBiS2
3587,2.04,SnGa2GeS6
3589,0.23,NiTe
3591,1.25,Pr2YbCuS5
3592,2.3,KInSnS4
3595,1.6,La2O2MnSe2
3596,0.9,Er3Te4
3597,2.5,RbTbSe2
3599,2.38,Na2Ge2Se5
3600,2.25,PbCrO4
3601,1.83,Ag0.5Pb1.75GeS4
3602,2.09,CsEr9Cd4Se18
3605,3.0,Cu3TaS4
3608,2.56,AgCd3PS6
3609,0.72,Cu3YTe3
3611,0.21,Bi2Te2.7Se0.3
3613,2.25,K2HgP2Se6
3614,0.93,Tl2PrInSe4
3615,1.88,Gd2ZrS5
3616,2.68,Pr2S3
3619,2.33,K6Cd4Sn3Se13
3620,0.44,Pb0.75Ge0.25Te
3622,2.89,BeTe
3623,0.37,Pb0.96TeGa0.04
3624,1.61,NdLuSe3
3625,0.72,Bi6Cu3S10I
3626,4.9,LiH3Se2O6
3627,1.87,BaLa2In2S7
3628,7.3,Li3Cs2B5O10
3629,1.51,TlScS2
3632,1.4,Zn0.75Hg0.25Se
3633,1.8,K2Ge4Se8
3639,1.92,Dy2Mo3O12
3640,2.3,Li2PtO3
3641,0.37,PbSe0.01S0.99
3643,1.07,Eu2SnSe5
3644,1.52,Ba6Sn6Se13
3645,2.35,As2S6
3646,3.35,Rb2CdBr2I2
3648,2.12,Ba2In2Se5
3649,1.89,Cs3Sb2I9
3651,1.51,Ag0.5Pb1.75GeSe4
3653,2.47,Sr2V3Se5O18
3655,0.7,Nd2HfS5
3656,3.2,Nb6VSb3O25
3659,1.32,Sn2BiSI5
3662,2.3,K10Mn4Sn4S17
3666,3.0,AgGaGeS4
3668,0.95,TiCoSb
3671,2.0,PrTaN2O
3672,3.05,Pr2Sr2PtO7.07
3675,2.2,Cs4In8GeSe16
3676,2.3,Tl6CuTe2O10
3677,3.12,InPS4
3678,2.3,BaCuTeF
3679,1.1,Ge0.2Si0.8
3680,2.13,Ba5In4Te4S7
3681,1.79,CsMn4In5Se12
3684,1.36,LiSbS2
3687,3.8,Be3N2
3689,2.74,Cs39Cl6Ga53Se96
3697,0.67,Be3Sb2
3701,3.5,CuYO2
3702,0.97,TlCr5S7Se
3703,3.0,GaVTe2O8
3705,1.0,Zn0.65Hg0.35Se
3706,0.28,Pb0.95Ge0.05Se
3708,10.5,NaF
3710,2.51,VTeO5H
3712,1.55,CsMn4Ga5Te12
3714,5.22,Yb2O3
3715,1.35,Ba2InCeTe5
3717,2.15,In0.2As0.2Ga0.8P0.8
3719,1.31,PbCuSbS3
3720,4.59,Ba2CdB6O12
3726,5.6,Y2O3
3730,2.16,Ag2VI3O11
3732,0.68,LiSbSe2
3734,2.12,Cs2ZnSn3Se8
3737,2.3,Eu2Ga2GeS7
3738,2.8,TlHg6Se4Br5
3740,2.52,La2Sr2PtO7.13
3741,1.46,KCu3S2
3747,3.33,CdCuSe2O6
3749,1.47,AgP15
3750,0.59,SmSb
3751,1.0,IrAs2
3752,0.29,PbTe0.5Se0.5
3753,5.4,KScSe2O6
3757,1.89,Pr4InSbSe9
3758,1.8,Cd0.6Te0.6Al0.4Sb0.4
3759,2.59,Cu2Ta11O30
3761,2.04,La10OSe14
3763,2.2,K2La2Sb2S9
3764,1.5,AgPdI3O9
3765,2.9,Bi2Mo3O12
3766,0.4,Se0.2Te0.8
3767,2.43,Ga0.2Al0.8P
3769,0.12,InSb0.2As0.8
3771,0.58,MnAl3
3776,1.8,EuTm2Se4
3777,3.12,BaTeMo2O9
3778,2.8,Mg3N2
3779,1.92,Ba2InSbSe5
3780,0.56,TiTlSe2
3781,1.45,Ca3La2Sn3S12
3782,2.4,Cs2PtI6O18
3784,1.85,EuCu2SnS4
3786,2.25,Na2BaGeSe4
3788,0.75,Sr3GeSb2Se8
3789,2.43,K2Ho4Cu4S9
3790,1.02,La2CoTiO6
3791,1.7,In0.8Al0.2P
3793,1.44,Cu2ZnSnSe4
3794,2.3,Ga0.1P0.1Zn0.9Se0.9
3795,3.0,LiBi4Nb3O12
3796,3.25,K3Ga3Ge7S20
3797,2.28,K2Au2Sn2Se6
3799,1.0,TcS2
3800,3.0,SnO
3802,0.65,GaAs0.75Sb0.25
3803,1.33,BaIr2Ge4Se6
3804,4.0,KInTe2O6
3805,3.9,ZnSnO3
3807,2.6,Ca5Bi14O26
3808,0.72,Ga1.001Sb0.999Te0.003
3811,2.2,Gd6Ge2.5S14
3812,2.0,KZrPSe6
3813,2.6,Ba5CdGa6Se15
3827,0.2,Bi0.6Te3Sb1.4
3896,0.0,AgCNO
3897,0.0,Al13Ru4
3898,0.0,SiTe2Os
3899,0.0,HoMg2
3900,0.0,UAl4
3901,0.0,SmCoC2
3902,0.0,Ag9Pb4O12
3903,0.0,NaZr2TiF11
3904,0.0,ScRh
3905,0.0,HoSi2Pt2
3906,0.0,Li3VOF5
3907,0.0,Ti2ZnS4
3908,0.0,KV6O11
3909,0.0,ErMg2
3910,0.0,CsAs2Ru2
3911,0.0,In2Pt
3912,0.0,Rh3Pb
3913,0.0,Ba3CrS5
3914,0.0,Si2SbO6
3915,0.0,ReBiO3
3916,0.0,MgSc
3917,0.0,Cu10Sb3
